ros_time,elapsed_s,truth_stamp,odom_stamp,sync_dt_s,truth_x_m,truth_y_m,truth_yaw_deg,truth_speed_mps,lio_raw_x_m,lio_raw_y_m,lio_raw_yaw_deg,lio_base_x_m,lio_base_y_m,lio_aligned_x_m,lio_aligned_y_m,lio_aligned_yaw_deg,lio_speed_mps,error_x_m,error_y_m,position_error_m,along_track_error_m,cross_track_error_m,yaw_error_deg,speed_error_mps,truth_distance_m,lio_distance_m,position_rmse_m,cross_track_rmse_m,yaw_rmse_deg,position_max_m,lio_degenerate,gps_status,gps_age_s,gps_shadow,status
1785249319.216353178,4.896,1785249318.834000111,1785249318.851096153,0.017096,-13.897359,-223.670715,62.623962,0.080629,-3.214579,46.193974,2.893209,-6.530347,46.026398,-13.980248,-223.698485,63.076948,0.000000,-0.082889,-0.027769,0.087417,-0.062774,0.060837,0.452986,-0.080629,0.000000,0.000000,0.087417,0.060837,0.452986,0.087417,1,0,0.003767,0,LIO_DEGENERATE
1785249319.450385571,5.130,1785249319.203000069,1785249319.206565380,0.003565,-13.889538,-223.656403,62.623093,0.081707,-3.214579,46.194019,2.886420,-6.530367,46.026837,-13.980638,-223.698284,63.070159,0.000000,-0.091100,-0.041881,0.100266,-0.079082,0.061638,0.447067,-0.081707,0.016310,0.000439,0.094061,0.061239,0.450036,0.100266,1,0,0.000785,0,LIO_DEGENERATE
1785249319.685545206,5.365,1785249319.426000118,1785249319.441526890,0.015527,-13.889538,-223.656403,62.623093,0.081707,-3.214598,46.194237,2.885989,-6.530387,46.027079,-13.980858,-223.698181,63.069729,0.000000,-0.091321,-0.041778,0.100423,-0.079092,0.061881,0.446636,-0.081707,0.016310,0.000682,0.096229,0.061454,0.448906,0.100423,1,0,0.026626,0,LIO_DEGENERATE
1785249319.910039663,5.589,1785249319.664000034,1785249319.672183752,0.008184,-13.889538,-223.656403,62.623093,0.081707,-3.214571,46.193745,2.896846,-6.530329,46.025959,-13.979857,-223.698687,63.080585,0.000000,-0.090319,-0.042284,0.099728,-0.079081,0.060760,0.457493,-0.081707,0.016310,0.001804,0.097115,0.061281,0.451068,0.100423,1,0,0.062751,0,LIO_DEGENERATE
1785249320.141606092,5.821,1785249319.897000074,1785249319.902267694,0.005268,-13.889538,-223.656403,62.623093,0.081707,-3.214495,46.192360,2.846212,-6.530400,46.027504,-13.981234,-223.697980,63.029952,0.000000,-0.091696,-0.041578,0.100682,-0.079087,0.062307,0.406859,-0.081707,0.016310,0.003351,0.097839,0.061487,0.442579,0.100682,1,0,0.082097,0,LIO_DEGENERATE
1785249320.352067471,6.032,1785249320.104000092,1785249320.108586311,0.004586,-13.889538,-223.656403,62.623093,0.081707,-3.214426,46.192364,2.809035,-6.530436,46.029660,-13.983122,-223.696940,62.992775,0.000000,-0.093584,-0.040538,0.101987,-0.079032,0.064462,0.369682,-0.081707,0.016310,0.005507,0.098542,0.061993,0.431286,0.101987,1,0,0.130120,0,LIO_DEGENERATE
1785249320.565859079,6.245,1785249320.332999945,1785249320.342522383,0.009522,-13.889538,-223.656403,62.623093,0.081707,-3.214432,46.192268,2.850676,-6.530323,46.027154,-13.980892,-223.698088,63.034416,0.000000,-0.091354,-0.041685,0.100415,-0.079025,0.061954,0.411323,-0.081707,0.016310,0.008015,0.098812,0.061988,0.428491,0.101987,1,0,0.102040,0,LIO_DEGENERATE
1785249320.802610874,6.482,1785249320.549999952,1785249320.556335688,0.006336,-13.887678,-223.653137,62.622681,0.081776,-3.214573,46.194218,2.891425,-6.530347,46.026745,-13.980549,-223.698312,63.075164,0.000000,-0.092871,-0.045175,0.103275,-0.082821,0.061696,0.452484,-0.081776,0.020068,0.008424,0.099381,0.061951,0.431563,0.103275,1,0,0.154986,0,LIO_DEGENERATE
1785249321.097390413,6.777,1785249320.770999908,1785249320.781408548,0.010409,-13.878719,-223.637085,62.620361,0.082934,2.131425,-87.668091,2.565228,-1.185248,-87.816683,104.802963,-285.610432,62.748968,0.000000,118.681683,-61.973347,133.888153,-0.451186,-133.887393,0.128607,-0.082934,0.038451,133.958540,44.629483,44.629169,0.409134,133.888153,1,0,0.055026,0,LIO_DEGENERATE|POSITION_DRIFT
1785249321.242801905,6.922,1785249321.016999960,1785249321.000838041,0.016162,-13.868874,-223.619049,62.619385,0.084105,2.131401,-87.668251,2.637941,-1.185081,-87.821052,104.806837,-285.612460,62.821680,0.000000,118.675711,-61.993411,133.892148,-0.469466,-133.891325,0.202295,-0.084105,0.058999,133.962912,59.877562,59.877167,0.393375,133.892148,1,0,0.010021,0,LIO_DEGENERATE|POSITION_DRIFT
1785249321.473555565,7.153,1785249321.220999956,1785249321.229344845,0.008345,-13.855783,-223.595078,62.617325,0.301192,2.137916,-87.622276,2.596487,-1.178675,-87.772678,104.768052,-285.582849,62.780226,0.000000,118.623835,-61.987772,133.843558,-0.483505,-133.842685,0.162902,-0.301192,0.086312,134.011709,69.913792,69.913333,0.378271,133.892148,1,0,0.240775,0,LIO_DEGENERATE|POSITION_DRIFT
1785249321.692171335,7.372,1785249321.448999882,1785249321.462802887,0.013803,-13.743097,-223.389587,62.627228,1.476286,2.137864,-87.627174,0.304656,-1.182089,-87.644828,104.655428,-285.522241,60.488396,0.000000,118.398526,-62.132653,133.711172,-0.738890,-133.709130,-2.138832,-1.476286,0.320672,134.139605,77.269010,77.268335,0.715808,133.892148,1,0,0.042663,0,LIO_DEGENERATE|POSITION_DRIFT|YAW_DRIFT
1785249321.899636984,7.579,1785249321.657999992,1785249321.664223194,0.006223,-13.528367,-222.994141,63.301743,2.621535,2.137865,-87.626831,0.406747,-1.182052,-87.650400,104.660281,-285.524979,60.590486,0.000000,118.188648,-62.530838,133.711115,-2.762922,-133.682567,-2.711257,-2.621535,0.770657,134.145177,82.985013,82.980895,1.019030,133.892148,1,0,0.054006,0,LIO_DEGENERATE|POSITION_DRIFT|YAW_DRIFT
1785249322.126876354,7.806,1785249321.884999990,1785249321.892283440,0.007283,-13.189333,-222.326172,65.126236,3.741891,2.138025,-87.626831,0.673550,-1.181745,-87.665859,104.673846,-285.532400,60.857289,0.000000,117.863179,-63.206228,133.741378,-7.767349,-133.515634,-4.268947,-3.741891,1.519741,134.160639,87.591347,87.563120,1.505310,133.892148,1,0,0.089449,0,LIO_DEGENERATE|POSITION_DRIFT|YAW_DRIFT
1785249322.355536938,8.035,1785249322.112999916,1785249322.116717577,0.003718,-12.808194,-221.525024,65.596802,3.899183,2.137974,-87.628586,0.312878,-1.181976,-87.646715,104.657122,-285.523082,60.496618,0.000000,117.465316,-63.998057,133.767903,-9.749096,-133.412170,-5.100184,-3.899183,2.406930,134.179784,91.398494,91.338567,1.961892,133.892148,1,0,0.096666,0,LIO_DEGENERATE|POSITION_DRIFT|YAW_DRIFT
1785249322.542819262,8.222,1785249322.319000006,1785249322.325334787,0.006335,-12.443878,-220.776031,65.889648,4.359848,2.138722,-87.627815,1.602620,-1.179979,-87.720667,104.722277,-285.558119,61.786360,0.000000,117.166155,-64.782088,133.882885,-11.268691,-133.407809,-4.103289,-4.359848,3.239826,134.253763,94.614315,94.518071,2.158881,133.892148,1,0,0.065410,0,LIO_DEGENERATE|POSITION_DRIFT|YAW_DRIFT
1785249322.768204689,8.448,1785249322.526000023,1785249322.530638933,0.004639,-12.015599,-219.853500,67.167435,5.248033,2.138553,-87.627419,1.424749,-1.180421,-87.709967,104.712774,-285.553182,61.608489,0.000000,116.728373,-65.699682,133.947607,-15.256417,-133.075930,-5.558946,-5.248033,4.256923,134.264472,97.368874,97.210461,2.490855,133.947607,1,0,0.118999,0,LIO_DEGENERATE|POSITION_DRIFT|YAW_DRIFT
1785249323.016125441,8.696,1785249322.750000000,1785249322.758507013,0.008507,-11.489661,-218.660690,67.328293,6.118680,2.138597,-87.627617,1.434785,-1.180362,-87.710747,104.713480,-285.553519,61.618524,0.000000,116.203141,-66.892828,134.081395,-16.933370,-133.007825,-5.709769,-6.118680,5.560536,134.265254,99.763520,99.537524,2.769633,134.081395,1,0,0.171758,0,LIO_DEGENERATE|POSITION_DRIFT|YAW_DRIFT
1785249323.234373569,8.914,1785249322.990000010,1785249323.007700443,0.017700,-10.839072,-217.204895,67.344925,6.977306,2.138441,-87.627861,1.062773,-1.180988,-87.689440,104.694682,-285.543468,61.246512,0.000000,115.533754,-68.338573,134.231922,-18.564006,-132.942042,-6.098412,-6.977306,7.155091,134.286570,101.868824,101.569919,3.037193,134.231922,1,0,0.184412,0,LIO_DEGENERATE|POSITION_DRIFT|YAW_DRIFT
1785249323.449512243,9.129,1785249323.217999935,1785249323.225234985,0.007235,-10.144722,-215.649994,67.328751,7.827692,2.138437,-87.627670,1.107333,-1.180943,-87.691831,104.696779,-285.544617,61.291072,0.000000,114.841501,-69.894624,134.438941,-20.229118,-132.908282,-6.037678,-7.827692,8.857983,134.288961,103.740473,103.362743,3.253612,134.438941,1,0,0.006916,0,LIO_DEGENERATE|POSITION_DRIFT|YAW_DRIFT
1785249323.672841787,9.352,1785249323.433000088,1785249323.437745333,0.004745,-9.429831,-214.025375,68.548218,8.582545,2.138445,-87.627090,1.273864,-1.180734,-87.700898,104.704750,-285.548945,61.457604,0.000000,114.134581,-71.523570,134.693443,-24.827741,-132.385448,-7.090614,-8.582545,10.632935,134.298031,105.420708,104.926968,3.532142,134.693443,1,0,0.003527,0,LIO_DEGENERATE|POSITION_DRIFT|YAW_DRIFT
1785249323.876706123,9.556,1785249323.660000086,1785249323.663514853,0.003515,-8.669310,-212.139709,69.623444,9.313418,2.139199,-87.610512,1.247453,-1.180015,-87.682790,104.689396,-285.539317,61.431192,0.000000,113.358706,-73.399607,135.047023,-29.336393,-131.822132,-8.192252,-9.313418,12.666191,134.316154,106.945555,106.297207,3.867755,135.047023,1,0,0.020317,0,LIO_DEGENERATE|POSITION_DRIFT|YAW_DRIFT
1785249324.135581493,9.815,1785249323.861000061,1785249323.866697073,0.005697,-7.967758,-210.366486,69.647537,9.399049,2.139146,-87.610588,1.214628,-1.180108,-87.680964,104.687766,-285.538490,61.398367,0.000000,112.655524,-75.172005,135.433000,-31.298135,-131.766931,-8.249170,-9.399049,14.573151,134.317982,108.340011,107.530105,4.155449,135.433000,1,0,0.087156,0,LIO_DEGENERATE|POSITION_DRIFT|YAW_DRIFT
1785249324.335794926,10.015,1785249324.096999884,1785249324.102808237,0.005808,-7.149770,-208.313324,69.981552,9.513707,2.139189,-87.610367,1.291518,-1.179967,-87.685197,104.691509,-285.540473,61.475257,0.000000,111.841279,-77.227149,135.913591,-34.275467,-131.520708,-8.506295,-9.513707,16.783259,134.322217,109.627464,108.635541,4.423024,135.913591,1,0,0.079963,0,LIO_DEGENERATE|POSITION_DRIFT|YAW_DRIFT
1785249324.581708193,10.261,1785249324.323999882,1785249324.327899456,0.003900,-6.362899,-206.196487,72.474777,10.249147,2.135902,-87.656548,1.121252,-1.183462,-87.721514,104.721280,-285.561563,61.304991,0.000000,111.084180,-79.365075,136.522929,-42.231012,-129.827007,-11.169786,-10.249147,19.041613,134.358702,110.828670,109.561925,4.875570,136.522929,1,0,0.132566,0,LIO_DEGENERATE|POSITION_DRIFT|YAW_DRIFT
1785249324.855284691,10.535,1785249324.555000067,1785249324.568321705,0.013322,-5.603517,-203.902878,72.931427,10.453005,2.670898,44.259315,-0.348248,-0.649040,44.279495,-9.540287,-219.464315,59.835492,0.000000,-3.936770,-15.561437,16.051682,-16.031526,-0.804159,-13.095935,-10.453005,21.457665,266.360793,108.722036,107.434423,5.427080,136.522929,1,0,0.205816,0,LIO_DEGENERATE|POSITION_DRIFT|YAW_DRIFT
1785249325.055072308,10.735,1785249324.812999964,1785249324.819714308,0.006714,-4.756476,-201.353760,72.939468,10.352244,2.671103,44.272667,-4.328671,-0.639426,44.523253,-9.746997,-219.334772,55.855068,0.000000,-4.990521,-17.981012,18.660710,-18.653892,-0.504388,-17.084400,-10.352244,24.143829,266.604740,106.750094,105.426170,6.258801,136.522929,1,0,0.197484,0,LIO_DEGENERATE|POSITION_DRIFT|YAW_DRIFT
1785249325.265986919,10.945,1785249325.016000032,1785249325.027366400,0.011366,-4.095672,-199.369781,72.940521,10.277072,9.384783,69.737228,-4.157951,6.073521,69.977949,-28.494299,-200.853866,56.025789,0.000000,-24.398628,-1.484085,24.443722,-8.576472,22.889728,-16.914732,-10.277072,26.234961,292.929733,104.928245,103.616778,6.927605,136.522929,1,0,0.207479,0,LIO_DEGENERATE|POSITION_DRIFT|YAW_DRIFT
1785249325.496497393,11.176,1785249325.221999884,1785249325.227349997,0.005350,-3.432443,-197.373871,72.943100,10.202503,9.386997,69.738960,-7.982168,6.099164,70.199992,-28.674199,-200.721214,52.201571,0.000000,-25.241756,-3.347343,25.462736,-10.604050,23.149623,-20.741529,-10.202503,28.338181,293.153251,103.211630,101.905320,7.821233,136.522929,1,0,0.029357,0,LIO_DEGENERATE|POSITION_DRIFT|YAW_DRIFT
1785249325.751293659,11.431,1785249325.453000069,1785249325.468266010,0.015266,-2.690436,-195.140549,72.945877,10.113299,14.419371,41.138290,-7.950105,11.131280,41.597482,-1.355894,-210.576974,52.233635,0.000000,1.334541,-15.436425,15.494006,-14.366269,-5.802975,-20.712242,-10.113299,30.691541,322.195044,101.516278,100.198105,8.569278,136.522929,1,0,0.087519,0,LIO_DEGENERATE|POSITION_DRIFT|YAW_DRIFT
1785249325.927793741,11.607,1785249325.684999943,1785249325.691037178,0.006037,-1.952404,-192.919403,72.948425,10.032091,14.419483,41.136654,-9.211424,11.142297,41.668113,-1.411698,-210.532296,50.972315,0.000000,0.540706,-17.612893,17.621190,-16.680098,-5.681608,-21.976110,-10.032091,33.032091,322.266530,99.915633,98.574041,9.308209,136.522929,1,0,0.078160,0,LIO_DEGENERATE|POSITION_DRIFT|YAW_DRIFT
1785249326.185661077,11.865,1785249325.897000074,1785249325.914408684,0.017409,-1.280992,-190.896225,73.287048,10.305438,14.421706,41.122578,-9.374830,11.146049,41.663381,-1.405726,-210.531393,50.808909,0.000000,-0.124734,-19.635168,19.635564,-18.841600,-5.527158,-22.478139,-10.305438,35.163768,322.272569,98.403300,97.026517,9.986228,136.522929,1,0,0.133064,0,LIO_DEGENERATE|POSITION_DRIFT|YAW_DRIFT
1785249326.440994740,12.120,1785249326.153000116,1785249326.160482407,0.007482,-0.485668,-188.284714,75.785172,11.144575,14.420837,41.129040,-9.517046,11.146532,41.677972,-1.418145,-210.523719,50.666694,0.000000,-0.932478,-22.239005,22.258546,-21.787065,-4.557045,-25.118478,-11.144575,37.893700,322.287168,96.978308,95.548402,10.762069,136.522929,1,0,0.197350,0,LIO_DEGENERATE|POSITION_DRIFT|YAW_DRIFT
1785249326.648929119,12.328,1785249326.420000076,1785249326.426902771,0.006903,0.333614,-185.268845,76.757187,12.123731,14.422246,41.122387,-9.483135,11.147617,41.669381,-1.410153,-210.527049,50.700605,0.000000,-1.743767,-25.258205,25.318326,-24.985998,-4.088710,-26.056582,-12.123731,41.018870,322.295827,95.640128,94.135403,11.505850,136.522929,1,0,0.205005,0,LIO_DEGENERATE|POSITION_DRIFT|YAW_DRIFT
1785249326.905909538,12.585,1785249326.627000093,1785249326.633304596,0.006305,0.949428,-182.819153,77.465118,12.290509,14.422305,41.123245,-8.928931,11.142538,41.638540,-1.385919,-210.546790,51.254808,0.000000,-2.335347,-27.727638,27.825811,-27.573573,-3.738157,-26.210310,-12.290509,43.544780,322.327083,94.381208,92.783018,12.174981,136.522929,1,0,0.060447,0,LIO_DEGENERATE|POSITION_DRIFT|YAW_DRIFT
1785249327.113613129,12.793,1785249326.857000113,1785249326.861856222,0.004856,1.624979,-180.071213,77.468307,12.197701,14.424044,41.150467,-5.651590,11.120182,41.477417,-1.257241,-210.646301,54.532149,0.000000,-2.882220,-30.575088,30.710637,-30.472054,-3.820616,-22.936158,-12.197701,46.374540,322.489749,93.201779,91.487506,12.598637,136.522929,1,0,0.071435,0,LIO_DEGENERATE|POSITION_DRIFT|YAW_DRIFT
1785249327.318753719,12.998,1785249327.085999966,1785249327.094148159,0.008148,2.294846,-177.356552,77.688309,12.335741,14.423198,41.157913,-6.738396,11.126132,41.547470,-1.315062,-210.606307,53.445344,0.000000,-3.609908,-33.249755,33.445144,-33.254820,-3.562950,-24.242965,-12.335741,49.170627,322.560054,92.097944,90.244621,13.050675,136.522929,1,0,0.068945,0,LIO_DEGENERATE|POSITION_DRIFT|YAW_DRIFT
1785249327.524125338,13.204,1785249327.292000055,1785249327.299233198,0.007233,2.888932,-174.781815,79.087708,13.011097,14.422918,41.158009,-7.244158,11.129419,41.576653,-1.338748,-210.588944,52.939581,0.000000,-4.227680,-35.807129,36.055843,-35.959995,-2.627273,-26.148126,-13.011097,51.813015,322.589423,91.066081,89.050295,13.558420,136.522929,1,0,0.068321,0,LIO_DEGENERATE|POSITION_DRIFT|YAW_DRIFT
1785249327.744170427,13.424,1785249327.500999928,1785249327.507272482,0.006273,3.465610,-172.048294,80.172501,13.782955,14.423197,41.158024,-6.994953,11.127908,41.562340,-1.327081,-210.597372,53.188786,0.000000,-4.792691,-38.549078,38.845866,-38.801441,-1.857287,-26.983714,-13.782955,54.606703,322.603816,90.105947,87.901714,14.063674,136.522929,1,0,0.111293,0,LIO_DEGENERATE|POSITION_DRIFT|YAW_DRIFT
1785249327.995208502,13.675,1785249327.723999977,1785249327.729262114,0.005262,4.066325,-168.951599,80.500183,14.544824,14.422496,41.159950,-7.230940,11.128900,41.577835,-1.340031,-210.588807,52.952799,0.000000,-5.406357,-41.637207,41.986733,-41.958489,-1.539776,-27.547384,-14.544824,57.761125,322.619343,89.219823,86.796329,14.553821,136.522929,1,0,0.121823,0,LIO_DEGENERATE|POSITION_DRIFT|YAW_DRIFT
1785249330.037087917,15.717,1785249329.799999952,1785249329.810622931,0.010623,7.890866,-133.470856,89.805771,17.715229,0.000000,0.000000,0.000000,-3.320000,0.000000,27.549627,-243.798365,60.183739,0.000000,19.658761,-110.327509,112.065276,-110.260233,-20.032651,-29.622031,-17.715229,93.447400,366.636238,89.846169,85.788370,15.101295,136.522929,0,0,0.181365,0,POSITION_DRIFT|YAW_DRIFT
1785249330.299514055,15.979,1785249330.007999897,1785249330.025580406,0.017581,7.986457,-129.780762,89.820892,17.651357,0.000598,-0.003793,0.765765,-3.319106,-0.048164,27.591859,-243.821537,60.949504,0.000000,19.605402,-114.040775,115.713743,-113.978931,-19.961799,-28.871388,-17.651357,97.138732,366.684411,90.547983,84.816874,15.571318,136.522929,0,0,0.036803,0,POSITION_DRIFT|YAW_DRIFT
