epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,57.1054,2.53056,2.25758,0.01322,0.32568,0.36491,0.22708,0.06489,2.60443,2.28308,0.01159,0.000664979,0.000664979,0.000664979
2,113.014,2.25418,2.09842,0.01163,0.33677,0.35088,0.26585,0.08284,2.54607,2.40993,0.01116,0.00131846,0.00131846,0.00131846
3,168.903,2.16836,2.10488,0.01103,0.36034,0.37193,0.30042,0.10006,2.18987,2.43052,0.00914,0.00195875,0.00195875,0.00195875
4,224.425,2.07108,2.09605,0.01047,0.31584,0.36609,0.26303,0.10276,2.15386,2.26662,0.00891,0.0019406,0.0019406,0.0019406
5,280.063,2.01832,1.96777,0.01002,0.47846,0.38627,0.37812,0.12186,2.28777,2.20732,0.00962,0.0019208,0.0019208,0.0019208
6,335.883,1.99473,1.89334,0.00992,0.54035,0.44912,0.44917,0.15514,2.1121,2.04774,0.00898,0.001901,0.001901,0.001901
7,391.871,1.91928,1.85538,0.0096,0.47271,0.42456,0.38801,0.13454,2.2098,2.2271,0.0099,0.0018812,0.0018812,0.0018812
8,447.52,1.94672,1.76115,0.00962,0.62482,0.4386,0.46042,0.15437,2.17726,2.09307,0.00942,0.0018614,0.0018614,0.0018614
9,502.817,1.90661,1.7376,0.00947,0.51647,0.43509,0.46449,0.15954,2.22705,2.00654,0.00929,0.0018416,0.0018416,0.0018416
10,558.752,1.88426,1.65866,0.00916,0.53376,0.49825,0.47273,0.16433,2.18841,1.95488,0.00956,0.0018218,0.0018218,0.0018218
11,614.19,1.86097,1.62001,0.00917,0.59891,0.48421,0.49768,0.18442,2.12117,1.86959,0.00926,0.001802,0.001802,0.001802
12,669.694,1.82554,1.57611,0.00907,0.56045,0.45633,0.4423,0.15583,2.13496,2.11644,0.00893,0.0017822,0.0017822,0.0017822
13,725.011,1.81847,1.54211,0.00899,0.61207,0.47056,0.4914,0.18853,2.02077,1.94352,0.00842,0.0017624,0.0017624,0.0017624
14,780.67,1.79676,1.48526,0.0087,0.59679,0.47719,0.51502,0.18973,2.23066,1.8377,0.00986,0.0017426,0.0017426,0.0017426
15,836.734,1.77807,1.45989,0.00866,0.54144,0.52615,0.53902,0.20292,2.11204,1.79382,0.00927,0.0017228,0.0017228,0.0017228
16,892.44,1.76629,1.43192,0.00869,0.59572,0.5067,0.51946,0.19683,2.11984,1.85687,0.00925,0.001703,0.001703,0.001703
17,948.394,1.76546,1.43195,0.00854,0.57084,0.47018,0.52672,0.21376,2.03334,1.82385,0.00868,0.0016832,0.0016832,0.0016832
18,1004.15,1.74943,1.40657,0.00867,0.64367,0.4807,0.53739,0.21474,2.16008,1.80302,0.00947,0.0016634,0.0016634,0.0016634
19,1059.67,1.73159,1.38615,0.00856,0.64382,0.50104,0.57569,0.22482,2.10536,1.78643,0.00878,0.0016436,0.0016436,0.0016436
20,1115.22,1.7062,1.36181,0.00819,0.67408,0.50526,0.58129,0.20899,2.1009,1.79609,0.00933,0.0016238,0.0016238,0.0016238
21,1170.72,1.69635,1.35479,0.00839,0.67015,0.50175,0.5856,0.23148,2.14102,1.65779,0.00936,0.001604,0.001604,0.001604
22,1226.38,1.68539,1.34679,0.00831,0.57944,0.48826,0.53937,0.20839,2.09938,1.78359,0.00946,0.0015842,0.0015842,0.0015842
23,1282.12,1.69311,1.31443,0.00823,0.69912,0.52632,0.60683,0.23151,2.07703,1.7957,0.00886,0.0015644,0.0015644,0.0015644
24,1337.98,1.65075,1.35106,0.00786,0.62875,0.4807,0.55392,0.22465,1.99322,1.83991,0.00851,0.0015446,0.0015446,0.0015446
25,1394.01,1.63963,1.34076,0.00792,0.63569,0.44694,0.52517,0.21199,1.96754,1.84118,0.00838,0.0015248,0.0015248,0.0015248
